№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
379	145	108	2	2		Cabarete		DR	3923	1,34	1,25
380	145	131	2	2		Sosua		Coral	9112	1,11	1,03
381	145	140	2	2,5		Cabarete		Coral	9008	1,04	0,96
382	149	78	1	1		Cabarete		DR	1625	1,91	1,78
383	149	90	2	2		Cabarete		Coral	9117	1,66	1,54
384	149	95	2	1		Cabarete		C21	2312	1,57	1,46
385	149	118	2	2	0,2	Cabarete		C21	3149	1,26	1,17
386	149	127	2	2	0,4	Sosua		C21	2913	1,17	1,09
№	Цена (тыс USD)	Площадь апарт-мента (м2)	Коли-чество комнат (шт)	Коли-чество ванных (шт)	Расстояние до пляжа (км)	Город	Год	Компа-ния	Номер	Приведен. Цена (тыс USD)	Приведен. Очищ. Цена (тыс USD)
387	149	140	2	2		Cabarete		C21	2551	1,06	0,99
388	149	150	2	2	0,5	Sosua		DR	4117	0,99	0,92
389	149	188	2	2		Cabarete	2012	KI	425	0,79	0,74
390	149	290	3	3		Sosua		Coral	6225	0,51	0,48
391	149,9	122	2	2		Sosua		Coral	8014	1,23	1,14
392	150	64	1	1	0,5	Cabarete	2006	KI	374	2,34	2,18
393	150	94	2	1		Cabarete		C21	2813	1,6	1,48
394	150	110	1	1		Cabarete		DR	3956	1,36	1,27
395	150	112	1	1,5		Sosua		Coral	6188	1,34	1,25
396	150	113	2	2		Sosua		DR	866	1,33	1,23
397	150	129	2	2,5		Cabarete		Coral	9061	1,16	1,08
398	154,9	88	1	1		Cabarete		Coral	9115	1,76	1,64
399	155	86	2	2		Cabarete		C21	2499	1,8	1,68
